geography_code,Subgroup,Group,Supergroup
S01020040,1a1,1a,1
S01020041,1a1,1a,1
S01020042,1c2,1c,1
S01020043,1a1,1a,1
S01020044,2a2,2a,2
S01020045,1c2,1c,1
S01020046,7a1,7a,7
S01020047,2c1,2c,2
S01020048,7b1,7b,7
S01020049,1b2,1b,1
S01020050,8b1,8b,8
S01020051,8b1,8b,8
S01020052,8b2,8b,8
S01020053,8b1,8b,8
S01020054,1b1,1b,1
S01020055,1b2,1b,1
S01020056,1b2,1b,1
S01020057,8a2,8a,8
S01020058,1c2,1c,1
S01020059,5a2,5a,5
S01020060,1c2,1c,1
S01020061,8b3,8b,8
S01020062,8a1,8a,8
S01020063,8b3,8b,8
S01020064,8b3,8b,8
S01020065,3a3,3a,3
S01020066,6b3,6b,6
S01020067,8b1,8b,8
S01020068,8b1,8b,8
S01020069,8b3,8b,8
S01020070,2c2,2c,2
S01020071,7b1,7b,7
S01020072,7a1,7a,7
S01020073,8b1,8b,8
S01020074,7a2,7a,7
S01020075,8b1,8b,8
S01020076,7a2,7a,7
S01020077,7b1,7b,7
S01020078,5b1,5b,5
S01020079,1c2,1c,1
S01020080,1c2,1c,1
S01020081,1c2,1c,1
S01020082,1c2,1c,1
S01020083,8b1,8b,8
S01020084,1b2,1b,1
S01020085,7b2,7b,7
S01020086,7a1,7a,7
S01020087,1c2,1c,1
S01020088,1c2,1c,1
S01020089,1b2,1b,1
S01020090,1b1,1b,1
S01020091,1b2,1b,1
S01020092,1b2,1b,1
S01020093,1b2,1b,1
S01020094,2a3,2a,2
S01020095,7a1,7a,7
S01020096,8b1,8b,8
S01020097,6a3,6a,6
S01020098,6b3,6b,6
S01020099,8b1,8b,8
S01020100,7a1,7a,7
S01020101,7a1,7a,7
S01020102,7a1,7a,7
S01020103,8b2,8b,8
S01020104,8b2,8b,8
S01020105,8b1,8b,8
S01020106,2c2,2c,2
S01020107,7a2,7a,7
S01020108,7a2,7a,7
S01020109,8b1,8b,8
S01020110,7b2,7b,7
S01020111,7a1,7a,7
S01020112,7a1,7a,7
S01020113,1b2,1b,1
S01020114,2b2,2b,2
S01020115,1b2,1b,1
S01020116,1b1,1b,1
